id,name,domain,tech_op,idx_type,subline_tech_op
1833,dea创新高,股票,,TECH_SPECIAL,
1805,fsl,股票,"[""低位"",""死叉"",""拐头向下"",""下移"",""强势"",""拐头向上"",""金叉"",""上移"",""弱势"",""多头排列"",""空头排列"",""顶背离"",""高位"",""底背离""]",TECH_LINES,
1834,macd创新高,股票,,TECH_SPECIAL,
1835,macd创新低,股票,,TECH_SPECIAL,
1836,dea创新低,股票,,TECH_SPECIAL,
1837,diff创新低,股票,,TECH_SPECIAL,
1838,k值创新高,股票,,TECH_SPECIAL,
1810,成交量创新高,股票,,TECH_SPECIAL,
1811,三金叉,股票,,TECH_SPECIAL,
1814,成交量创新低,股票,,TECH_SPECIAL,
1815,成交额创新高,股票,,TECH_SPECIAL,
1816,成交额创新低,股票,,TECH_SPECIAL,
1817,换手率创新高,股票,,TECH_SPECIAL,
1818,换手率创新低,股票,,TECH_SPECIAL,
1819,量比创新高,股票,,TECH_SPECIAL,
1820,量比创新低,股票,,TECH_SPECIAL,
1821,振幅创新高,股票,,TECH_SPECIAL,
1822,振幅创新低,股票,,TECH_SPECIAL,
1823,开盘价创新高,股票,,TECH_SPECIAL,
1824,最高价创新高,股票,,TECH_SPECIAL,
1825,最低价创新高,股票,,TECH_SPECIAL,
1839,d值创新高,股票,,TECH_SPECIAL,
1840,j值创新高,股票,,TECH_SPECIAL,
1841,j值创新低,股票,,TECH_SPECIAL,
1842,d值创新低,股票,,TECH_SPECIAL,
1843,k值创新低,股票,,TECH_SPECIAL,
1844,mtm创新高,股票,,TECH_SPECIAL,
1845,mamtm创新高,股票,,TECH_SPECIAL,
1846,mtm创新低,股票,,TECH_SPECIAL,
1847,mamtm创新低,股票,,TECH_SPECIAL,
1848,bias创新高,股票,,TECH_SPECIAL,
1849,bias创新低,股票,,TECH_SPECIAL,
1850,cci创新高,股票,,TECH_SPECIAL,
1851,cci创新低,股票,,TECH_SPECIAL,
1852,rsi创新高,股票,,TECH_SPECIAL,
1853,rsi创新低,股票,,TECH_SPECIAL,
1854,wr1值创新高,股票,,TECH_SPECIAL,
1855,wr2值创新高,股票,,TECH_SPECIAL,
1856,wr2值创新低,股票,,TECH_SPECIAL,
1857,wr1值创新低,股票,,TECH_SPECIAL,
1858,boll创新高,股票,,TECH_SPECIAL,
1859,boll创新低,股票,,TECH_SPECIAL,
1860,obv创新高,股票,,TECH_SPECIAL,
1861,obv创新低,股票,,TECH_SPECIAL,
1862,asi创新高,股票,,TECH_SPECIAL,
1863,asi创新低,股票,,TECH_SPECIAL,
1864,vr创新高,股票,,TECH_SPECIAL,
1865,vr创新低,股票,,TECH_SPECIAL,
1866,sar创新高,股票,,TECH_SPECIAL,
1867,sar创新低,股票,,TECH_SPECIAL,
1868,mfi创新高,股票,,TECH_SPECIAL,
1869,mfi创新低,股票,,TECH_SPECIAL,
1870,arbr创新高,股票,,TECH_SPECIAL,
1871,arbr创新低,股票,,TECH_SPECIAL,
1872,zbcd创新高,股票,,TECH_SPECIAL,
1873,zbcd创新低,股票,,TECH_SPECIAL,
1886,bbi创新低,股票,,TECH_SPECIAL,
1887,roc创新高,股票,,TECH_SPECIAL,
1888,roc创新低,股票,,TECH_SPECIAL,
1889,adtm创新高,股票,,TECH_SPECIAL,
1890,adtm创新低,股票,,TECH_SPECIAL,
